,geometry,address
0,POINT (37.6174943 55.7504461),"Москва, Центральный федеральный округ, Россия"
1,POINT (120.9782618 14.5948914),"Manila, Capital District, Metro Manila, Philippines"
2,POINT (-74.0060152 40.7127281),"City of New York, New York, United States"
3,POINT (31.2357257 30.0443879),"القاهرة, مصر"
4,POINT (-46.6333824 -23.5506507),"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
5,POINT (-43.2093727 -22.9110137),"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil"
6,POINT (-74.0836453 4.6534649),"Bogotá, Bogotá Distrito Capital - Municipio, RAP (Especial) Central, Colombia"
7,POINT (-87.6244212 41.8755616),"Chicago, Cook County, Illinois, United States"
8,POINT (37.60436886144644 55.758285650000005),"Около дома Станиславского, 9 с3, Вознесенский переулок, 54, Пресненский район, Москва, Центральный федеральный округ, 125009, Россия"
9,POINT (51.3896004 35.6892523),"شهر تهران, بخش مرکزی شهرستان تهران, شهرستان تهران, استان تهران, ایران"
10,POINT (32.8540482 39.9207886),"Ankara, Çankaya, Ankara, İç Anadolu Bölgesi, 06420, Türkiye"
11,POINT (12.4829321 41.8933203),"Roma, Roma Capitale, Lazio, Italia"
12,POINT (-0.12765 51.5073359),"London, Greater London, England, United Kingdom"
13,POINT (121.5636796 25.0375198),"臺北市, 臺灣"
14,POINT (-81.6936772 41.4996574),"Cleveland, Cuyahoga County, Ohio, United States"
15,POINT (-104.984862 39.7392364),"Denver, Colorado, United States"
16,POINT (102.8324209 24.8843019),"昆明市, 云南省, 中国"
17,POINT (-118.307201 34.1812089),"Burbank, Los Angeles County, California, United States"
18,POINT (-149.894852 61.2163129),"Anchorage, Alaska, 99501, United States"
19,POINT (4.8924534 52.3730796),"Amsterdam, Noord-Holland, Nederland"
20,POINT (-40 40),北大西洋
21,POINT (2.3200410217200766 48.8588897),"Paris, Île-de-France, France métropolitaine, France"
22,POINT (-75.54975026592507 6.29437795),"Building near road, Calle 106, Granizal, Comuna 1 - Popular, Perímetro Urbano Medellín, Medellín, Valle de Aburrá, Antioquia, 005004, Colombia"
23,POINT (-74.1723667 40.735657),"Newark, Essex County, New Jersey, United States"
24,POINT (-122.330062 47.6038321),"Seattle, King County, Washington, United States"
25,POINT (67.0207055 24.8546842),"کراچی, سندھ, کراچی, 74400, پاکستان"
26,POINT (26.1027202 44.4361414),"București, România"
